"Phrase, Frequency"
"NOW ZERAHEMNAH WHEN HE,1"
"AND I SAY UNTO,4"
"THOU SHALT NOT COVET,1"
"AND BEHOLD ALSO IF,2"
"THESE ARE THE WORDS OF,1"
"FOR BEHOLD YE CANNOT,1"
"AND NOW THEY KNEW,1"
"GO SMITETH THE,1"
"AND AS CONCERNING THAT GOD,1"
"WHEREFORE HE GAVE COMMANDMENTS UNTO,1"
"YET THE LORD,1"
"BEHOLD I CAME,1"
"AND WO BE,2"
"YEA ALL WERE,1"
"AND THEY SHALL COME AND,1"
"WHICH IS TO SHOW UNTO,2"
"BUT WITH RIGHTEOUSNESS SHALL,1"
"DO NOT,7"
"THEN HE DEPARTED OUT OF,1"
"THEREFORE SAITH THE LORD,1"
"AND NOW FOR THE,1"
"AND THEY SHALL,13"
"YE CANNOT SAY WHEN,1"
"BUT THOU ART CAST OUT,1"
"THE ACCOUNT,3"
"NOW THIS IS ACCORDING,1"
"WE DO NOT,2"
"AND THERE WAS BUT LITTLE,1"
"NEVERTHELESS THEY DURST NOT,1"
"IN MINE,1"
"IS IT THE,1"
"AND THESE ARE,12"
"AND THEN ARE YE IN,1"
"BUT BEHOLD JACOB WHO,1"
"AND HOW BLESSED WERE THEY,1"
'"NOW THIS MAN''S NAME',1"
"HAVE I SLACKENED,1"
"AND THE WILD FRUIT OF,1"
"AND ALL THE PEOPLE,1"
"AND THEN WILL I,4"
"WHEREFORE YE NEED NOT SUPPOSE,1"
"FOR OUR,1"
"FOR BEHOLD THOU,1"
"BUT WITH RIGHTEOUSNESS SHALL HE,1"
"THE CAPTIVE,1"
"FOR BEHOLD BECAUSE OF,1"
"BEHOLD HE CHANGED THEIR HEARTS,1"
"AND I KNEW NOT AT,1"
"AND I WAS,2"
"THEREFORE GO FORTH UNTO THIS,1"
"NEVERTHELESS HELAMAN DID FILL,1"
"NOW I MORONI,2"
"AND NOW O LORD,1"
"WHEREFORE I WRITE,2"
"AND NOW I SAY,13"
"AND NO MAN,1"
"NOW LAMONI SAID UNTO AMMON,1"
"NOW THE QUEEN,1"
"NOW WHEN THOSE,1"
"LISTEN O ISLES UNTO,1"
"NOW IT CAME TO,43"
"NOW THOSE DESCENDANTS WERE,1"
"AND THEY UNDERSTOOD,2"
"AND FROM THIS TIME,2"
"AND HE LOVETH THOSE,1"
"BEHOLD WE ARE NOT OF,1"
"FOR THE MOUNTAINS SHALL DEPART,1"
"THEREFORE I SAY UNTO YOU,4"
"FOR UNTO US A CHILD,1"
"AND WHEN THE PRIEST,1"
"NOW FROM,1"
"NOW THERE WERE A GREAT,1"
"REJOICE NOT THOU WHOLE,1"
"AND THUS THEY BEGAN,1"
"FOR NOTWITHSTANDING I,1"
"AND IT ALSO CAME,1"
"BUT IF HE MURDERED HE,1"
"AND GIDGIDDONI DID CAUSE THAT,1"
"AND NOW IT HAD COME,1"
"AND AFTER THEY HAD PARTAKEN,1"
"WHEREFORE HAVING THIS PERFECT,1"
"THEN HE DEPARTED OUT,1"
"AND HE MINISTERED UNTO,1"
"BUT WO UNTO HIM,1"
"AND NOW GIDGIDDONI BEING,1"
"AND AGAIN I KNOW,1"
"WHEREFORE BRETHREN SEEK NOT,1"
"THUS WE WILL DEPART WITH,1"
"AND MORONI WENT,1"
'"NEPHI''S BRETHREN REBEL AGAINST',2"
"CEASE YE FROM MAN,1"
"IN THAT DAY,3"
"NOW THE KING CONFERRED THE,1"
"AND HE DID STRAITEN,1"
"BEHOLD WHAT THE SCRIPTURE,1"
"NOW THIS GREAT,2"
"AND THE COW AND,2"
"HAVE YE EXPERIENCED THIS MIGHTY,1"
"FOR WHAT I,1"
"AND MANY CAME FORTH ALSO,1"
"WHEREFORE HAVING THIS PERFECT KNOWLEDGE,1"
"AND HE WENT UNTO,1"
"WHEREFORE THEY ARE OF,1"
"BEHOLD WILL YE BELIEVE,1"
"BUT I DID REMAIN,1"
"WHEREFORE AFTER MY FATHER HAD,1"
"AND EVERY,3"
"BUT OTHERS REBUKED THEM,1"
"AND IF NOW THOU,1"
"THY CHILDREN SHALL MAKE HASTE,1"
"AND HIS DISCIPLES,1"
"THEREFORE THE PEOPLE OF THE,1"
"NOT EVERY ONE THAT SAITH,1"
"NOW THEY DURST NOT SLAY,1"
"AND NOW ZERAHEMNAH I,1"
"AND THERE WERE APPOINTED,1"
"NOW THE KING HAD,1"
"AND THUS HE DID PREACH,1"
"AND THESE WILL I,1"
"NOW ZEEZROM SAID UNTO HIM,1"
"AND BEHOLD MORONI HAD,1"
"THEREFORE I SAID,1"
"BEHOLD O LORD THEIR SOULS,1"
"O REMEMBER REMEMBER THAT THESE,1"
"AND MY WORDS DID,1"
"AND NOW BEHOLD MY BRETHREN,6"
"AMEN AND IT CAME TO,1"
"WHEREFORE THE THINGS,5"
"AND BEHOLD THE SPIRIT,1"
"THE FATHER HATH,1"
"NOW AS SOON,1"
"AND NOW BECAUSE OF STIFFNECKEDNESS,1"
"YEA WO UNTO HIM,1"
"YEA I SAY UNTO YOU,6"
"THEN MY BRETHREN YE,1"
"AND THE KING SAID IS,1"
"AMEN FOR IF YE,1"
"AND THUS THE ZORAMITES AND,1"
"NAY I HAVE NOURISHED IT,1"
"AND NOW IN THOSE CRITICAL,1"
"AND THUS WERE,6"
"BUT BEHOLD HEARKEN YE UNTO,1"
"AND HE DID MINISTER MANY,1"
"THEIR SUFFERINGS AND AFFLICTIONS IN,1"
"TOUCH NOT,1"
"AND THEY WERE EXCEEDINGLY,3"
"AFTER THIS MANNER THEREFORE,1"
"YEA WHO CAN SAY TOO,1"
"FOR IF I WILL,1"
"AND THEY STRAIGHTWAY CAME FORTH,1"
"BUT WHETHER IT BE AT,1"
"IF SO HIS FAITH AND,1"
"YEA AT THE TIME,1"
"AND THEY WERE ALSO ANGRY,1"
"YEA THEY DID PERSECUTE,1"
"FOR THE EARTH WAS SMITTEN,1"
"NOW THEY HAD APPOINTED,1"
"AND IN THAT DAY THERE,1"
"AND THEN ALMA CRIED UNTO,1"
"AND AFTER THEY HAVE BEEN,1"
"AND NOW THE WORDS OF,1"
"AND THEY BROUGHT,3"
"YEA AND THOU HAST ALSO,1"
"THEN ALMA SAID UNTO HIM,1"
"FOR I KNOW THAT,4"
"LOOK UNTO ME AND ENDURE,1"
"AMEN THE SECOND EPISTLE OF,1"
"NOW THE LAMANITES DID NOT,1"
"AND ALMA BAPTIZED ZEEZROM,1"
"FOR THUS DIDST,1"
"AMEN AND NOW BEHOLD MY,1"
"AND WHOSO SHALL,1"
"AND AMMON DECLINED DOING THIS,1"
"COULD YE,1"
"WOULD TO GOD THAT IT,1"
"AND FINALLY I CANNOT TELL,1"
"NOW IT WAS,9"
"NOW ZERAHEMNAH,1"
"O MY SON I,1"
"AND IF YE WILL HEARKEN,1"
"AND IT BORDERED,1"
"AND AMINADAB,2"
"O MY BELOVED BRETHREN GIVE,1"
"AND HE SPAKE ALSO CONCERNING,2"
"I SAY UNTO YOU THAT,10"
"O MY BELOVED,5"
"AND NOW BEHOLD CAN YE,1"
"FOR CAN A WOMAN FORGET,1"
"DO YE REMEMBER,1"
"AND RIPLAKISH,1"
"AND SINCE,2"
"AND ZEEZROM SAID AGAIN WHO,1"
"AND IF THE,3"
"AND THEY DISCOVERED,1"
"AND THE BODIES,1"
"BUT LIMHI SAID,1"
"BUT NOTWITHSTANDING ALL THIS THEY,1"
"YE HAVE BROKEN THE HEARTS,1"
"WHICH OF YOU,1"
"AND NOW GIDGIDDONI BEING AWARE,1"
"AND NOW I DESIRE TO,1"
"YEA MINE ANXIETY,1"
"AND NOW NO PART OF,1"
"THE COMMANDMENTS OF,3"
"AND BEHOLD ALL THINGS,1"
"FOR BEHOLD THIS IS THE,1"
"AND MY FATHER SAID,1"
"NOW THE NUMBER OF,2"
"AND NOW BEHOLD WHO,1"
"AND NOW REMEMBER REMEMBER,1"
"BUT WHOSO,1"
"BEHOLD OUR INIQUITIES ARE,1"
"PUT ON STRENGTH O,1"
"BUT HE THAT,1"
"AND THERE WAS ONE AMONG,1"
"YEA AND ALL THE EARTH,1"
"YEA JOSEPH TRULY SAID,1"
"AND AGAIN I KNEW,1"
"THEREFORE HE DID FLATTER THEM,1"
"AND THUS THEY DEPARTED,1"
"AND AMINADAB SAID UNTO,2"
"FOR BEFORE THE CHILD SHALL,1"
"AND I WILL GIVE CHILDREN,1"
"DO NOT ENDEAVOR TO,1"
"MANY WILL SAY TO,1"
"THOU SHALT HAVE NO,1"
"AND FINALLY ALL,1"
"FOR THEY SAID,1"
"YEA WO BE UNTO HIM,2"
"AND O,2"
"THE WORDS OF,5"
"AND I,201"
"AND I ALSO REMEMBER THAT,1"
"AND A,7"
"AND AS MANY AS DID,1"
"YEA ALL WERE GATHERED,1"
"AND THEY DID PRAY FOR,1"
"AND SHARED WOUNDED,1"
"AND THEY DID PROSPER,1"
"AND BEHOLD WHEN YE,1"
"AND HE DID RISE,1"
"NOW THIS IS MY JOY,1"
"BUT BEHOLD I JACOB WOULD,1"
"FOR BEHOLD HE DOTH CONDEMN,1"
"FOR BEHOLD IF A,1"
"THOU MAYEST SPEAK BOLDLY AND,1"
"WHAT COULD I,1"
"AND NOW BEHOLD WE DESIRE,1"
"FOR HAVE NOT THEY,1"
"HE HATH FILLED ME,1"
"AND THEY ANSWERED,3"
"YEA JOSEPH TRULY,1"
"AND HE SHALL RISE THE,1"
"YEA HAVE,1"
"AND THEY DID SWEAR BY,1"
"AND I LOOKED AND,12"
"KNOW YE THAT YE,3"
"BUT I SHOW,1"
"FINALLY I BID,1"
"BUT BEHOLD THAT GREAT AND,1"
"DID HE NOT SPEAK THE,1"
"AND I NEPHI HAVE,1"
"AND MOREOVER I SHALL GIVE,1"
"AND SINCE MAN HAD FALLEN,1"
"THEREFORE AS THE,2"
"NOW IF IT HAD NOT,1"
"AND WHEN I DESIRE TO,1"
"THE COURSE OF THEIR,1"
"THEN SAID,4"
"LISTEN O ISLES,1"
"OH THEN WHY,1"
"LAY NOT,1"
"AND THIS GREAT SIN AND,1"
"FOR I WILL MAKE,1"
"NOW AS TO THIS,1"
"YEA WHY SHOULD I,1"
"AND ON THE FOURTH DAY,1"
"COUNSEL,1"
"AND AWAKE,1"
"AND THE LEARNED,1"
"WHEREFORE HE DID OBTAIN ALL,1"
"BUT BEHOLD I OF,1"
"NOW AMMON SAID,1"
"AND NEITHER AT,1"
"REMEMBER THE GREATNESS OF THE,1"
"AND THUS GOD BRINGETH,1"
"YEA BY THE,2"
"BLESSED BE THE,2"
"BEHOLD MY BRETHREN,4"
"AND NOW BEHOLD AS I,1"
"CURSED IS HE THAT PUTTETH,1"
"EVEN SO EVERY GOOD TREE,1"
"AND THEY AROSE FROM,1"
"AND THE LORD HATH SAID,1"
"AND THUS THE WORK,1"
"AND THEY HAD ALL,1"
"NOW THEY UNDERSTOOD NOT,1"
"AND NOW I NEPHI WRITE,1"
"BEHOLD HERE,1"
"THEREFORE I HAVE,2"
"YEA EXCEPT YE REPENT YOUR,1"
"NEVERTHELESS THEY HAD HAD MANY,1"
"IT IS BECAUSE,1"
"AND NOW WHEN THE KING,3"
"AND THE LORD BEGAN,1"
"OH REMEMBER AND TAKE IT,1"
"BUT BEHOLD THE BANDS,1"
"THEREFORE THEY SEPARATED THEMSELVES,1"
"AND BEHOLD THERE WAS ALL,1"
"AND IT WAS THE MORE,1"
"PREACH UNTO THEM REPENTANCE AND,1"
"AND THUS THE LORD,3"
"O THE PAIN,1"
"YEA AND I ALSO THOUGHT,1"
"YE SAY THAT THOSE,1"
"KNOWEST THOU THAT THE RIGHTEOUS,1"
"BUT HE REPENTED NOT,1"
"AND WHEN ALMA HAD SAID,1"
"I DO NOT,1"
"DO NOT PRAY AS,1"
"AND IT SPEAKETH,1"
"THE ZEAL,1"
"PREPARE YOUR SOULS FOR,1"
"AND WE DID GIVE UNTO,1"
"AND THEY DID NOT,2"
"AND NOW THE CAUSE,1"
"AND THEY SAID WHO IS,1"
"AND THOU HAST SHED THE,1"
"AND IF THEY BE EVIL,1"
"AND IF MY SON,1"
"YEA AND MANY DID PREACH,1"
"KNOWEST,2"
"AND I PERCEIVE THAT THY,1"
"AND WHEN THAT DAY SHALL,1"
"AND MANY DID,2"
"FATHER I PRAY THEE THAT,1"
"YEA AND I HAD MURDERED,1"
"YEA HE SAID UNTO,1"
"AND AFTER THE BROTHER,1"
"YEA WE HAVE REASON TO,1"
"AND HE CAUSED TOWERS,1"
"AND THE ARMIES,2"
"AND NOW WHEN THE PEOPLE,1"
"AND AFTER HE HAD MADE,1"
"BUT WO WO,2"
"NOW BEHOLD ALL,1"
"BEHOLD GOD IS,1"
"AND NOW IF YE SAY,1"
"FOR WHAT I SEAL,1"
"AND BEHOLD MORONI,1"
"HOW COULD HE SIN,1"
"AND THE LORD BEGAN AGAIN,1"
"AND THEY DID NOT WALK,1"
"AND WHILE TEANCUM WAS THUS,1"
"AND BY THE POWER OF,2"
"WHEREFORE I JACOB,1"
"AND WHAT WILL YE DO,1"
"AND FINALLY I,1"
"BUT BEHOLD THE TIME,1"
"HEARKEN DILIGENTLY UNTO ME AND,1"
"HAVE THEY NOT SAID THAT,1"
"IF NOT SO MY,1"
"THINK NOT THAT I AM,1"
"BEHOLD THE LAMANITES YOUR BRETHREN,1"
"BEHOLD FOUR HUNDRED,1"
"AND WHERE IS THE FURY,1"
"NOW MY SON,4"
"AND IT ALSO CAME TO,1"
"WHEREFORE AT THAT DAY,1"
"AND WHEN THE DISCIPLES,2"
"AND HE ALSO UNFOLDED,1"
"RETURN,1"
"NOW THEY WERE PREPARED FOR,1"
"AND ALL THE NATIONS,1"
"AGREE WITH THINE ADVERSARY QUICKLY,1"
"NOW THE CHIEFEST AMONG ALL,1"
"THEREFORE THE KING WAS STIRRED,1"
"FOR JERUSALEM IS RUINED AND,1"
"AND THEIR,11"
"I AM ALPHA,1"
"THUS THE WORDS OF ABINADI,1"
"AND HE SERVED MANY,1"
"AND WHILE YE ARE,1"
"BEHOLD I SAID THAT THE,1"
"YEA AND IF HE SAY,1"
"AND WHILE HIS ARM,1"
"BUT IF NOT O,1"
"YEA HOW COULD YOU,1"
"AND HE WAS BROUGHT TO,1"
"HATH HE NOT READ,1"
"NEVERTHELESS GOD SENDETH,1"
"WRITTEN BY,1"
"AND WE OURSELVES ALSO,1"
"AND IF YE HAD,1"
"AND WHO SHALL SAY THAT,1"
"MY WELL-BELOVED HATH A,1"
"AND NOW I JACOB SPAKE,1"
"AND HE CAME DOWN BY,1"
"BEHOLD I KNOW THAT,1"
"NAY I HAVE,1"
"MY BROTHER HAS CALLED UPON,1"
"BUT HE SAID UNTO THEM,1"
"OH MY,1"
"BUT BEHOLD THE LAND WAS,1"
"FOR ON THE OTHER HAND,1"
"AND HE DID EXHORT,3"
"WHEREFORE IF A MAN HAVE,1"
"AND I HAVE DECLARED IT,1"
"WHY HAS HE,1"
"OR DO,2"
"AND BEHOLD YE ARE,1"
"AND THUS THEY BEGAN TO,1"
"AND MOREOVER I SHALL,1"
"FOR BEHOLD SAITH,2"
"FOR BEHOLD DOTH NOT,1"
"THOU HAST MULTIPLIED THE,1"
"FOR VERILY VERILY I SAY,1"
"IN TITHES,1"
"AND YE SHALL TREAD,1"
"IS NOT CALNO AS,1"
"THEREFORE HELAMAN,2"
"LOOK,4"
"BEHOLD I ABINADOM AM THE,1"
"AND THE HOLY GHOST,1"
"AND I CANNOT WRITE BUT,1"
"I ANSWER YOU NAY YE,1"
"BRING YE,1"
"AND BEHOLD AS THEY WERE,1"
"BUT JARED SAID UNTO HIS,1"
"BEHOLD I ANSWER FOR YOU,1"
"AND THEY CAME UNTO,1"
"ART THOU BECOME LIKE UNTO,1"
"NOW THIS IS MY,1"
"WHEREFORE THE FIRST JUDGMENT WHICH,1"
"AND THEN O HOUSE,1"
"SOME WERE LIFTED,1"
"WOULD I HARROW,1"
"AND NEPHI DID,2"
"AND HE HAD SWORN IN,1"
"YEA THUS WE,1"
"YEA AND BEHOLD,2"
"AND WHOSO SHALL DECLARE,1"
"BUT BEHOLD I DID,1"
"AND WE DO JUSTLY ASCRIBE,1"
"AND THE REASON,1"
"BEHOLD O GOD THEY,2"
"AND HE IMMEDIATELY,1"
"THEN WILL YE LONGER DENY,1"
"IN WHOM DID,1"
"NOW THIS WAS DONE,5"
"O REPENT,1"
"NEVERTHELESS NOTWITHSTANDING,1"
"AND THIS THEY DID IT,1"
"AND AMNIGADDAH,1"
"AND KING MOSIAH DID,1"
"BUT TO BE SHORT IN,1"
"FOR THOSE WHO,2"
"THUS ALL,1"
"AND BEHOLD I AM CALLED,1"
"AND IT IS IMPOSSIBLE,1"
"YEA O LORD,1"
"BUT BEHOLD I AM,2"
"AND BEHOLD THEY BEGAN TO,1"
"NOW HIS ARMIES,1"
"I HAVE CHARITY FOR,2"
"AND HE THAT,8"
"FOR THY MAKER THY HUSBAND,1"
"AND THIS HAVE I,1"
"FOR AS JOSEPH BROUGHT HIS,1"
"YE REMEMBER,1"
"AND HE SPAKE OF HELL,1"
"BUT BEHOLD YE HAVE,2"
"NOW ZEEZROM WAS,1"
"AND THERE WERE MANY THOUSANDS,1"
"BEHOLD THIS IS JOY,1"
"NEVERTHELESS NEPHI AND,1"
"BUT THE MANNER OF,1"
"OR IF,1"
"BUT THIS MUCH,2"
"AND THE LORD SPAKE UNTO,1"
"YEA AND FROM,1"
"AND NOTWITHSTANDING WE BELIEVE,1"
"AND THERE WERE ABOUT,1"
"WHEREFORE I WRITE A,1"
"OR IN,2"
"I WOULD,2"
"BEHOLD I KNOW THE,1"
"OR IS,1"
"THE COMMANDMENTS,3"
"AND THUS HE CLEARED THE,1"
"AND THEY WERE STRICT TO,1"
"NOW THE WORDS,1"
"FOR THUS SPAKE,1"
"AND THUS THE FLESH BECOMING,1"
"AND THESE,23"
"AND IT MAY SUFFICE,1"
"AND THE CITY OF,2"
"AND SECONDLY HE DOTH,1"
"BUT BEHOLD MY SON THE,1"
"AND AGAIN HOW BEAUTIFUL UPON,2"
"AND HE SAID UNTO AMMON,1"
"THEREFORE AMMON TURNED HIMSELF,1"
"FOR JUST AS,1"
"AND HELAMAN SAID UNTO,1"
"AND ALL THOSE,2"
"NOW THIS WAS THE VERY,1"
"WHY HAS,1"
"YEA I SAY,6"
"BUT THEY TOOK THEIR ARMIES,1"
"SEEK NOT,1"
"NOW GID,2"
"AND MANY HIGHWAYS,1"
"AND THERE,79"
"AND THIS DID THEY DO,1"
"AND NOW IN THOSE,1"
"AND THE LAMANITES DID,4"
"AND NEITHER,1"
"YEA THEN WILL HE REMEMBER,1"
"AND NOW WHEN AMMON SAW,1"
"AND THERE WERE NOT,1"
"IF YE HAVE SUCH GREAT,1"
"AND THUS THERE WAS A,1"
"HE HATH FILLED,1"
"AND THOSE CITIES WHICH,1"
"GO SMITETH THE PEOPLE OF,1"
"BUT IF YE NEGLECT THE,1"
"AND THERE ARE,6"
"BUT THE LORD KNOWETH,2"
"AND ALSO IT IS THAT,1"
"WHEREFORE HE THAT FIGHTETH,1"
"AND MANY OF,3"
"AND AGAIN MORE BLESSED,1"
"AND ALMA CRIED SAYING,1"
"BEHOLD I SPEAK UNTO,2"
"AND A SHUM,1"
"NOW IF THIS IS,1"
"THINK NOT THAT I,1"
"AND WHEN SHE HAD SAID,1"
"AND THERE WERE NOT SO,1"
"THEREFORE THERE WERE ORDAINED OF,1"
"BUT ALMA WITH,1"
"BEHOLD WHAT THE,1"
"AND WHEN THEY HAD EATEN,2"
"BUT BEHOLD THE NEPHITES DID,1"
"FOR ACCORDING TO,2"
"AND HE GAVE,2"
"YEA HUMBLE,2"
"AND NOW I RETURN AGAIN,1"
"AND THE WORDS,3"
"AND THUS ENDED THE EIGHTY,3"
"THEREFORE AS THE FIRE DEVOURETH,1"
"NOW WHEN OUR HEARTS,1"
"SAY,1"
"AND ALSO ZEEZROM,1"
"BEHOLD WHAT WILL THESE,1"
"AND THE LOFTINESS OF,1"
"NEVERTHELESS SO GREAT AND,1"
"AND NOW I COME TO,1"
"AND MANY PEOPLE,1"
"AND WHERE WILL,1"
"AND NOW THOU HAST LIED,1"
"AND THUS ENDED THE EIGHTH,1"
"BUT WHOSO AMONG YOU,1"
"NEITHER WOULD THEY OBSERVE,1"
"YEA THEY COULD NOT BEAR,1"
"AND NOW THE WORDS WHICH,1"
"BELIEVE IN GOD BELIEVE,1"
"AND BEHOLD I SAY UNTO,5"
"AND PAHORAN DID FILL THE,1"
"AND BEHOLD ALSO THEY HAVE,1"
"NOW BEHOLD THERE WAS NO,1"
"NOW THIS PEOPLE AGAIN,1"
"BUT HE THAT BELIEVETH,1"
"FOR IF THERE BE ONE,1"
"AND THEY DID HUMBLE,2"
"AND NOW ALL THESE THINGS,2"
"JOY AND GLADNESS SHALL,1"
"WHEREFORE BY THEIR,1"
"FOR AMULON KNEW ALMA,1"
"AND THEY DID ALSO DRIVE,1"
"AND THE REGULATIONS OF THE,1"
"AND AGAIN HE SAITH THAT,1"
"AND I HAVE TAUGHT HIS,1"
"BEHOLD I AM SURE OF,1"
"AND AFTER THEY HAD CROSSED,1"
"AND WE HAD OBTAINED,1"
"THEREFORE BEHOLD IT CAME,1"
"NOW MORONI LEAVING A PART,1"
"THEREFORE BLESSED ARE THEY WHO,2"
"BEHOLD I WAIT,1"
"AND WE WILL TAKE,1"
"BUT HE KEPT HIS,1"
"AND I EVEN I,1"
"BUT BEHOLD IT CAME,4"
"I ALSO,1"
"THEREFORE IT CAME TO PASS,4"
"AND NOW BELOVED,1"
"AND NOW KING BENJAMIN,1"
"WHAT MEAN,1"
"AND BEHOLD THE CITY HAD,1"
"SEE,3"
"AND WHEN AMULEK SAW THE,1"
"THEY ARE WITHOUT ORDER,1"
"I DO NOT GLORY,1"
"ASSOCIATE YOURSELVES O YE,1"
"AND THEY BEGAN TO REJOICE,1"
"I SAY THERE WAS,1"
"YEA IN THE STRENGTH OF,1"
"BUT AHAZ SAID I,1"
"AND JESUS AGAIN SHOWED HIMSELF,1"
"THEN JARED SAID UNTO,1"
"BEHOLD FOUR,1"
"FOR WHEN MORONIHAH SAW,1"
"AND I AMALEKI HAD A,1"
"AND NOW SINCE THE COMING,1"
"WHEREFORE I MORONI AM,1"
"FOR THE DAY OF,1"
"AND THE KING OF THE,2"
"THE LORD HATH BROKEN,1"
"AND CAN,1"
"AND GREAT WERE THE,1"
"AND THEY DID HAVE SILKS,1"
"AND AFTER WE HAD,5"
"O ASSYRIAN THE,1"
"AND BEHOLD NOW I SAY,1"
"WHO SHALL SAY THAT,1"
"AND NOW I NEPHI MAKE,2"
"AND BEHOLD HIS CHIEF,1"
"THEREFORE WHEN,4"
"BUT IF THEY,2"
"AND SINCE MAN HAD,1"
"EVEN THIS,1"
"AND AFTER HE WAS,1"
"BUT ALMA SAID,4"
"FOR THAT WHICH YE DO,1"
"WO UNTO THE WISE,1"
"MADMENAH IS REMOVED THE INHABITANTS,1"
"THEY WERE ONCE A,1"
"THEREFORE KEEP,1"
"AND SO IT IS,1"
"AN ACCOUNT OF THE RIGHTEOUSNESS,1"
"AND HE BREATHED OUT MANY,1"
"WRITTEN TO,1"
"NOW WHEN ALMA HAD,3"
"NOW WE WILL,3"
"THEREFORE I CONTENDED,1"
"FATHER I PRAY,2"
"FOR BEHOLD YE SHALL,1"
"YEA AND ALL THEIR,1"
"FOR NONE OF,1"
"AND THERE WAS A PROCLAMATION,1"
"AND AFTER HE HAD OBTAINED,1"
"SO THEY BROUGHT,1"
"AND THOSE WHO WERE CAST,1"
"SIX,1"
"AND HE MADE HIS GRAVE,1"
"AND THEY DID PRESERVE,1"
"BUT YET THERE SHALL,1"
"AND THE LARGE AND,1"
"TOUCH NOT THE THINGS WHICH,1"
"AND THESE WILL,1"
"AND THEY GAVE THANKS TO,1"
"AND MORONI SAID UNTO ZERAHEMNAH,1"
"AND THE LEARNED SHALL,1"
"BUT BEHOLD I PROPHESY,1"
"AND AGAIN WHEN THEY THOUGHT,3"
"AND THIS HAVE I DONE,1"
"AND BEHOLD HE SAID,1"
"BUT WHETHER IT BE,1"
"NOW YE SEE THAT THIS,1"
"AND BEHOLD THERE WERE,2"
"CRY UNTO HIM OVER THE,1"
"HAVE I SLACKENED MINE,1"
"MY SON FAREWELL THE COMMANDMENTS,2"
"WHEREFORE I SHALL GIVE,1"
"O REMEMBER MY,1"
"AND THE OFFICE OF THEIR,1"
"AND I MORONI,2"
"NOW BEHOLD HOW GREAT REASON,1"
"AND BEHOLD PACHUS,1"
"AND ARISE FROM THE DUST,1"
"BEHOLD THIS WE,1"
"AND NOW I JACOB AM,1"
"WHEREFORE TAKE,1"
"ALL WE,1"
"FOR AS I HAD,1"
"NOW AN ANTION OF,1"
"YE SAY THAT THIS,2"
"AND LAMAH HAD FALLEN WITH,1"
"AND NOW O MAN,1"
"AND BEHOLD THE THIRD,1"
"AND THERE WERE EXCEEDINGLY,2"
"AND I MORMON BEING,1"
"AND NOW WHEN HE HAD,1"
"GRAFT IN THE BRANCHES BEGIN,1"
"BUT LITTLE,1"
"AND IN THIS,3"
"THEREFORE HELL HATH,1"
"NOW AS AMMON WAS,1"
"AND ALSO I HAD,1"
"BEHOLD CAN,1"
"AND THE WORLD,2"
"AND THUS PROPHESIED JOSEPH,1"
"AND THY WILL O,1"
"AND BEHOLD WE WILL SET,1"
"AND BEHOLD THEY WILL BE,1"
"WHEREFORE MY BELOVED BRETHREN RECONCILE,1"
"AND NOW HOW MUCH,1"
"BEHOLD THEY WERE,1"
"FOR HE KNOWETH,1"
"AND ARISE FROM THE,1"
"AND NOW IT HAD,1"
"NOW THESE ARE THE NAMES,1"
"ALL YE,1"
"THEREFORE AMMON BECAME A,1"
"BEHOLD I DO,3"
"BEHOLD HE SENDETH AN,1"
"FOR EVERY MAN RECEIVETH,1"
"AND I WRITE,2"
"AND THE EARTH,2"
"BUT IN THE,2"
"WHEREFORE AFTER THEY,1"
"AND YE HAVE MURMURED,1"
"AND FOR THIS CAUSE,5"
"NOW GID WAS THE CHIEF,1"
"NOW IN THIS THING,1"
"NOW THIS IS THE,4"
"MY HEART HATH BEEN WEIGHED,1"
"AND THEY FLED BEFORE,1"
"AND THUS THE ZORAMITES,1"
"AND NOW IT HAS,1"
"I SAY UNTO YOU WHAT,1"
"AND THE ONE BEING,1"
"YEA LET US PRESERVE,1"
"NOW OF THIS,1"
"AND KISHKUMEN AND,1"
"AND NOW AFTER ALL,1"
"WHEREFORE MY SOUL DELIGHTETH TO,1"
"NOW THERE HAD BEEN,1"
"BUT BEHOLD AN AWFUL,1"
"THEREFORE WHOSOEVER SUFFERED,1"
"IN THAT DAY SHALL THE,1"
"THOU SHALT NOT BE JOINED,1"
"FOR I WILL MAKE MY,1"
"AND NOW SEEING YE,1"
"AND HE SPAKE PLAINLY,1"
"THEY ARE RAISED,1"
"AND MANY THINGS DID ABINADI,1"
"THEY COULD NOT BE TAKEN,1"
"I CREATED THE HEAVENS AND,1"
"WHEREFORE THE RIGHTEOUS,1"
"BEHOLD IF YE HAD NOT,1"
"AND I JACOB,1"
"BUT HAD THEY AWAKENED,1"
"AND WO BE UNTO,2"
"YEA THEY DID REMEMBER,1"
"AND IN THEM,1"
"AND NOW EXCEPT YE DO,1"
"AND THERE WERE SOME OF,1"
"HOLY GOD,1"
"BUT LAMAN SAID UNTO,1"
"BEHOLD I AM,19"
"AND WE RETAINED OUR CITY,1"
"AND BECAUSE OF THE REDEMPTION,1"
"I OUGHT NOT TO,1"
"FOR HAVE,1"
"NOW I CANNOT RECALL THE,1"
"AND I TOLD HIM THE,1"
'"NOW THIS MAN''S NAME WAS',1"
"AND NOW BEHOLD OUR BRETHREN,1"
"I AM NOT COME,1"
"AND WHEN MY BRETHREN SAW,1"
